Nom,Lat,Long
SEDAN,49.69486091,4.92998882
VIREUX MOLHAIN,50.08287057,4.72313451
ROMILLY SUR SEINE,48.51417327,3.72833188
BACCARAT,48.45227798,6.74406453
PAGNY SUR MOSELLE,48.98559945,6.02536956
ST EPVRE,48.696065,6.179207
TOUL,48.6761697,5.8643216
VANDOEUVRE,48.6623721298,6.17315922496
BAR LE DUC,48.773086,5.16609
ARS SUR MOSELLE,49.07446796,6.07845514
BENING,49.13819959,6.82858043
HAYANGE,49.33051398,6.07365187
SARREGUEMINES,49.10667999,7.06833095
THIONVILLE,49.35405465,6.16928572
FRANCS BOURGEOIS,48.58238738,7.74601104
OBERMODERN,48.84218087,7.53998139
OBERNAI,48.46186913,7.48897062
WISSEMBOURG,49.03153308,7.95030589
COLMAR,48.07315381,7.34708413
ARCHES,48.1203454,6.52681534
VITTEL,48.2026058,5.94187646
MAIRIE DU XVIII,48.89301002,2.34091133
BIBLIOTHEQUE FRANCOIS MITTERAND,48.82946236,2.37575248
LUXEMBOUG,48.84790175,2.3412399
NEUILLY PORTE MAILLOT,48.8774347573,2.28374333155
HAUSSMANN,48.8747300023,2.32885011427
FONTAINEBLEAU AVON,48.416281,2.726141
VERSAILLES CHANTIERS,48.7963535816,2.13734591065
LE PARC DE ST MAUR,48.8051918464,2.48758221648
GARGES SARCELLES,48.976732,2.390572
TERGNIER,49.65694034,3.29546619
VILLERS COTTERETS,49.25001266,3.0936906
NOGENT L'ARTAUD CHARLY,48.96876181,3.32291966
GAILLON AUBEVOYE,49.17466899,1.35262651
SERQUIGNY,49.1076727,0.71957679
VAL DE REUIL,49.271015,1.218816
BAILLEAU LE PIN,48.36675531,1.32472178
COURVILLE SUR EURE,48.45156445,1.2348212
ILLIERS COMBRAY,48.30426109,1.24491344
LA LOUPE,48.4741357,1.01115044
LA VILLETTE ST PREST,48.48236907,1.52345359
ARMENTIERES,50.68042307,2.87778381
BAISIEUX,50.61860233,3.23521662
CROIX WASQUEHAL,50.6785747,3.13771393
PERENCHIES,50.66700562,2.97715356
PHALEMPIN,50.5150448,3.01988812
SANTES,50.59188214,2.96260759
SOMAIN,50.3555546,3.27804085
GRANDVILLIERS,49.65930416,1.93882535
LIANCOURT RANTIGNY,49.32450627,2.44564084
MOUY BURY,49.3203,2.3264
PRECY SUR OISE,49.20322577,2.37634689
FLERS,48.74437263,-0.57368061
ACHIET,50.13232983,2.78045335
DOURGES,50.43152724,2.985783
ISBERGUES,50.6149484,2.46295664
AUFFAY,49.71598679,1.09819738
BREAUTE BEUZEVILLE,49.60359483,0.41716198
MALAUNAY LE HOULME,49.51324126,1.04011184
ROUEN RIVE DROITE,49.448387,1.093719
ROSIERES,49.8226906,2.71164885
TGV HAUTE PICARDIE,49.6636127,2.5280732
NAUCELLE,44.1856517,2.36344312
VILLEFRANCHE DE ROUERGUE,44.34726612,2.03618453
CHABANAIS,45.87255355,0.71681852
CHATELAILLON,46.07856425,-1.09120872
ROCHEFORT,45.94741568,-0.96378831
SAUJON,45.66704684,-0.93058421
EGLETONS,45.40231499,2.0651445
LAMBALLE,48.46592233,-2.51148941
LOUDEAC,48.18039909,-2.76306436
PLANCOÌÜT,48.5216713,-2.2289527
CONDAT LE LARDIN,45.12671615,1.22665077
LA COQUILLE,45.54076493,0.97421908
TOURY,48.194114,1.939738
CONCARNEAU,47.878371,-3.919898
QUIMPER,47.994245,-4.092316
ROSCOFF,48.72055351,-3.98245677
ROSPORDEN,47.96018968,-3.83275774
BOUSSENS,43.17964303,0.97218467
JEAN JAURES,43.605686,1.448875
MURET,43.46478429,1.32416229
ST AGNE,43.5794380181,1.44970380935
AUCH,43.64763597,0.59653811
LE TEICH,44.63220443,-1.02551437
LESPARRE,45.30297584,-0.94443913
LIBOURNE,44.9141970008,-0.237711047004
MARCHEPRIME,44.69048228,-0.85371986
MARGAUX,45.03551879,-0.68477194
MERIADECK,44.8379967,-0.5852229
STE CATHERINE,44.8388613,-0.5740306
COMBOURG,48.41597357,-1.72754212
DOL DE BRETAGNE,48.54297584,-1.75046978
MESSAC GUIPRY,47.82221391,-1.81866815
MONTAUBAN DE BRETAGNE,48.18989249,-2.05310334
CHATEAUROUX,46.80891813,1.69857645
AMBOISE,47.42147602,0.9811911
CHATEAU RENAULT,47.58828716,0.90159471
LANGEAIS,47.32394381,0.41032554
CARIGNAN GARE,49.62852048,5.16846771
REVIN,49.93856365,4.64275361
TROYES,48.297075,4.064928
MOURMELON LE PETIT,49.13122492,4.31771739
JOINVILLE,48.44475013,5.14428738
CONFLANS JARNY,49.16675984,5.86726847
LONGWY,49.51258907,5.76913851
PONT ST VINCENT,48.60212288,6.1034406
VARANGEVILLE ST NICOLAS,48.63533854,6.31285149
MONTMEDY,49.52320507,5.37126251
VERDUN,49.16553726,5.37874259
HAGONDANGE,49.25676935,6.16445766
TETE D'OR,49.11721945,6.17747473
AGORA ESPLANADE,48.577907,7.767575
STRASBOURG,48.58402938,7.73439378
ALTKIRCH,47.62710613,7.23959094
MULHOUSE VILLE,47.74192005,7.34123559
CHARMES VOSGES,48.37854765,6.30193002
GERARDMER,48.072246,6.872182
STAZIONE GARIBALDI,45.4841153,9.1888315
THALYS STORE & MORE,50.94197,6.95695
PARIS NORD,48.88011843,2.35429019
ALMA ST DOMINIQUE,48.85964513,2.30723441
AVENUE HENRI MARTIN,48.8640134355,2.27198025169
PARIS AUSTERLITZ,48.842684,2.366846
PARIS MONTPARNASSE,48.84154236,2.31896281
PASSY,48.85820031,2.28246108
RENNES ST SULPICE,48.8503781,2.33003229
MADELEINE,48.87112337,2.3242532
PONT CARDINET,48.88707179,2.31367296
MASSY TGV,48.72931123,2.26785868
YERRES,48.706885,2.483302
ANTONY,48.753146,2.305067
CLAMART,48.813779,2.272276
ST CLOUD,48.8452033,2.21755537
AEROPORT CDG2 TGV ROISSY,49.0096906,2.5479245
AULNAY SOUS BOIS,48.931745,2.493791
MAISONS ALFORT,48.802086,2.427032
PONTOISE,49.047263,2.09533
HIRSON,49.91432396,4.0843547
CAEN,49.17591,-0.348964
TROUVILLE - DEAUVILLE,49.36,0.0842
VIRE,48.84635383,-0.88316925
CHATEAUDUN,48.07340208,1.33842597
JOUY,48.511123,1.55859119
NOGENT LE ROTROU,48.32591302,0.81034277
CHERBOURG,49.633723,-1.619321
VALOGNES,49.50538585,-1.4803232
BUSIGNY,50.03946583,3.44589109
AVESNES,50.12653397,3.93373027
CAMBRAI,50.17747056,3.24032313
DON SAINGHIN,50.54869382,2.90745097
LA BASSEE,50.52770107,2.80508925
LA MADELEINE NORD,50.66059971,3.07258102
LILLE FLANDRES,50.637245,3.070776
LOOS LEZ LILLE,50.61287676,3.01796668
MAUBEUGE,50.27251698,3.96645229
TEMPLEUVE,50.52896647,3.17588768
CREPY EN VALOIS,49.23122039,2.88844224
LE PLESSIS BELLEVILLE,49.09611842,2.74466305
LONGUEIL STE MARIE,49.34233014,2.71607935
PONT STE MAXENCE,49.30986209,2.60223502
CONDE SUR HUISNE,48.38350844,0.84895885
ALENCON,48.43380326,0.09905038
SURDON,48.66490121,0.1341297
AUDRUICQ,50.87533915,2.07734782
HESDIN,50.37826604,2.03518472
LEFOREST,50.42769946,3.05925267
LIBERCOURT,50.47975631,3.00879173
LILLERS,50.56112567,2.47913006
LE TREPORT MERS,50.06273209,1.37651931
AILLY SUR NOYE,49.75457217,2.36390772
AILLY SUR SOMME,49.92831115,2.20052863
LONGPRE LES CORPS SAINTS,50.01142145,2.00315966
MONTDIDIER,49.64142161,2.5618866
ST ROCH SOMME,49.89314569,2.28335816
FOIX,42.96965531,1.60698546
BRAM,43.243805,2.1200962
CASTELNAUDARY,43.3120322,1.95035359
JARNAC CHARENTE,45.67128968,-0.1779242
RUFFEC CHARENTE,46.03064931,0.18999299
LA ROCHELLE VILLE,46.1531147691,-1.14630926102
BRIVE LA GAILLARDE,45.153818,1.529519
MEYMAC,45.52994313,2.16344556
OBJAT,45.26524091,1.40687307
USSEL,45.55813424,2.30890034
UZERCHE,45.44057584,1.5702286
CALLAC,48.40688978,-3.41866842
BERGERAC,44.85680143,0.49035153
THIVIERS,45.41900344,0.92099003
CARHAIX,48.27581197,-3.56410952
CHATEAULIN EMBRANCHEMENT,48.18609777,-4.09698076
CROZON MORGAT,48.2472678441,-4.49872330674
LANDIVISIAU,48.49561062,-4.08270373
COLOMIERS,43.60359478,1.33451466
TOULOUSE MATABIAU,43.61089468,1.45325035
VILLEFRANCHE DE LAURAGAIS,43.39845335,1.71449965
FACTURE BIGANOS,44.63737267,-0.96574938
GUJAN MESTRAS,44.64050597,-1.06934786
GUIGNICOURT,49.43545035,3.96077204
ST ERME,49.52691466,3.85759825
CHARLEVILLE MEZIERES,49.768506,4.724632
FUMAY,49.98621208,4.69199014
NOUZONVILLE,49.81219269,4.74266606
RETHEL,49.50457068,4.37028428
VENDEUVRE,48.24033602,4.46718837
CHAMPAGNE-ARDENNE TGV,49.21515,3.995812
FISMES,49.31084992,3.68229247
STE MENEHOULD,49.09006411,4.9039865
DIEULOUARD,48.8437441,6.0712765
LONGUYON,49.44720611,5.60358491
FORBACH,49.1886113457,6.90028825524
ST AVOLD,49.08570052,6.72071967
SARREBOURG,48.73846877,7.05195726
DIEMERINGEN,48.94103614,7.18478124
ERSTEIN,48.42286882,7.63813392
HAGUENAU,48.81343348,7.78237122
QUAI DE PARIS,48.58505465,7.74303518
ILLZACH,47.7719340562,7.38114678334
EPINAL,48.177883,6.442233
ETIVAL CLAIREFONTAINE,48.36666672,6.87702581
Voyages-sncf,46.198392,6.142296
PARIS EST,48.8762,2.3586
CONVENTION,48.83710787,2.29675077
DENFERT ROCHEREAU,48.833358,2.331889
INVALIDES,48.8611874,2.31497571
MUSEE D'ORSAY,48.86049539,2.32633621
TERNES,48.87732826,2.29957178
TURENNE,48.85467365,2.36304358
CHELLES GOURNAY,48.874577,2.582307
MELUN,48.5278861661,2.65575982997
RAMBOUILLET,48.6440164575,1.83037629189
ST GERMAIN EN LAYE,48.8967949285,2.09082912075
JUVISY,48.688713,2.381826
BOURG LA REINE,48.7802787314,2.31370737143
ASNIERES,48.906885,2.285708
CLICHY LEVALLOIS,48.89807582,2.31022149
NOGENT LE PERREUX,48.838305,2.48673
BOHAIN,49.98859043,3.44261951
CHATEAU THIERRY,49.03790955,3.40941055
BAYEUX,49.2694443,-0.69771168
DIVES CABOURG,49.28235965,-0.10986831
MEZIDON,49.07086722,-0.07496612
PONT L'EVEQUE,49.28702429,0.19196911
BUEIL,48.92508991,1.44377555
VERNON GIVERNY,49.091499,1.478711
